Image ID,Patch X,Patch Y,Dominant Species,Percentage,Total Blobs
aug_0012,0,0,puccinellia,100.0,1
aug_0014,0,0,puccinellia,100.0,1
aug_0019,0,0,puccinellia,100.0,1
aug_0020,0,0,puccinellia,100.0,1
aug_0026,0,1,puccinellia,100.0,1
aug_0026,1,0,puccinellia,100.0,1
aug_0026,1,1,puccinellia,100.0,1
aug_0060,0,0,puccinellia,100.0,1
aug_0084,0,0,puccinellia,100.0,1
aug_0093,0,0,puccinellia,100.0,1
aug_0114,0,0,puccinellia,100.0,2
aug_0133,0,0,puccinellia,100.0,1
aug_0156,0,0,puccinellia,100.0,2
aug_0156,1,1,puccinellia,100.0,1
aug_0161,0,0,puccinellia,100.0,2
aug_0165,0,0,puccinellia,100.0,1
aug_0178,0,0,puccinellia,100.0,1
aug_0181,0,0,puccinellia,100.0,1
aug_0243,0,0,puccinellia,100.0,1
aug_0253,0,0,puccinellia,100.0,1
aug_0263,0,0,puccinellia,100.0,1
aug_0268,0,0,puccinellia,100.0,1
aug_0272,0,0,puccinellia,100.0,1
aug_0279,0,0,puccinellia,100.0,1
aug_0291,0,0,puccinellia,100.0,1
aug_0302,0,0,puccinellia,100.0,1
aug_0318,0,0,puccinellia,100.0,1
aug_0345,0,0,puccinellia,100.0,1
aug_0355,0,0,puccinellia,100.0,1
aug_0357,0,0,puccinellia,100.0,1
aug_0362,0,0,puccinellia,100.0,1
aug_0362,1,0,puccinellia,100.0,1
aug_0367,0,0,puccinellia,100.0,1
aug_0381,0,0,puccinellia,100.0,1
aug_0383,0,0,puccinellia,100.0,1
aug_0430,0,0,puccinellia,100.0,1
aug_0430,0,1,puccinellia,100.0,1
aug_0431,0,0,puccinellia,100.0,1
aug_0431,0,1,puccinellia,100.0,1
aug_0442,0,1,puccinellia,100.0,1
aug_0443,0,0,puccinellia,100.0,1
aug_0445,0,0,puccinellia,100.0,1
aug_0447,0,0,puccinellia,100.0,1
aug_0453,0,0,puccinellia,100.0,1
aug_0474,0,0,puccinellia,100.0,1
aug_0476,0,0,puccinellia,100.0,1
aug_0489,0,0,puccinellia,100.0,1
aug_0489,0,1,puccinellia,100.0,1
aug_0493,0,1,puccinellia,100.0,1
aug_0494,0,1,puccinellia,100.0,1
aug_0502,1,0,puccinellia,100.0,1
aug_0534,0,0,puccinellia,100.0,1
aug_0563,0,0,puccinellia,100.0,2
aug_0563,0,1,puccinellia,100.0,1
aug_0606,0,0,puccinellia,100.0,1
aug_0609,0,0,puccinellia,100.0,1
aug_0618,0,0,puccinellia,100.0,2
aug_0618,1,0,puccinellia,100.0,1
aug_0623,0,1,puccinellia,100.0,1
aug_0623,1,0,puccinellia,100.0,1
aug_0628,0,0,puccinellia,100.0,1
aug_0632,0,0,puccinellia,100.0,2
aug_0635,0,0,puccinellia,100.0,1
aug_0642,0,0,puccinellia,100.0,1
aug_0666,0,0,puccinellia,100.0,1
aug_0697,0,0,puccinellia,100.0,1
aug_0732,0,0,puccinellia,100.0,2
aug_0737,0,1,puccinellia,100.0,1
aug_0740,0,0,puccinellia,100.0,1
aug_0743,0,0,puccinellia,100.0,1
aug_0744,0,0,puccinellia,100.0,1
aug_0758,0,0,puccinellia,100.0,1
aug_0763,0,1,puccinellia,100.0,1
aug_0782,0,0,spartina,100.0,1
aug_0782,1,0,puccinellia,100.0,1
aug_0793,1,0,puccinellia,100.0,1
aug_0801,0,0,puccinellia,100.0,1
aug_0803,0,0,puccinellia,100.0,1
aug_0840,0,0,puccinellia,100.0,2
aug_0840,1,0,puccinellia,100.0,1
aug_0840,1,1,puccinellia,100.0,1
aug_0854,0,0,puccinellia,100.0,1
aug_0856,0,0,puccinellia,100.0,1
aug_0856,1,0,puccinellia,100.0,1
aug_0871,0,1,puccinellia,100.0,1
aug_0883,0,0,puccinellia,100.0,1
aug_0886,0,0,puccinellia,100.0,1
aug_0886,1,0,puccinellia,100.0,2
aug_0922,0,0,puccinellia,100.0,1
aug_0923,0,0,puccinellia,100.0,1
aug_0932,1,0,puccinellia,100.0,1
aug_0946,0,0,puccinellia,100.0,1
aug_0953,0,1,puccinellia,100.0,1
aug_0960,0,0,puccinellia,100.0,1
aug_0960,0,1,puccinellia,100.0,1
aug_0961,0,0,puccinellia,100.0,1
aug_0961,1,0,puccinellia,100.0,1
aug_0963,0,0,puccinellia,100.0,1
aug_0963,0,1,puccinellia,100.0,1
aug_0978,0,0,puccinellia,100.0,1
aug_0993,0,0,puccinellia,100.0,1
aug_1007,0,1,puccinellia,100.0,1
aug_1007,1,0,puccinellia,100.0,1
aug_1040,0,0,puccinellia,100.0,1
aug_1115,0,0,puccinellia,100.0,1
aug_1134,0,0,puccinellia,100.0,1
aug_1134,0,1,puccinellia,100.0,1
aug_1141,0,0,puccinellia,100.0,1
aug_1146,0,0,puccinellia,100.0,2
aug_1169,0,1,puccinellia,100.0,1
aug_1272,0,0,puccinellia,100.0,3
aug_1274,0,0,puccinellia,100.0,1
aug_1286,0,0,puccinellia,100.0,1
aug_1298,0,0,puccinellia,100.0,1
aug_1306,0,0,spartina,100.0,2
aug_1317,0,0,spartina,100.0,1
aug_1351,0,0,spartina,100.0,1
aug_1351,1,0,spartina,100.0,1
aug_1369,1,1,spartina,100.0,1
aug_1372,0,0,spartina,100.0,1
aug_1384,0,0,spartina,100.0,1
aug_1388,0,0,spartina,100.0,1
aug_1389,0,0,spartina,100.0,1
aug_1393,0,0,spartina,100.0,2
aug_1428,1,0,spartina,100.0,1
aug_1438,0,0,spartina,100.0,4
aug_1438,0,1,spartina,100.0,1
aug_1438,1,0,spartina,100.0,1
aug_1441,0,0,spartina,100.0,1
aug_1487,1,0,spartina,100.0,1
aug_1487,1,1,spartina,100.0,1
aug_1492,0,0,spartina,100.0,2
aug_1492,0,1,spartina,100.0,1
aug_1492,1,0,spartina,100.0,1
aug_1500,0,0,spartina,100.0,1
aug_1503,0,0,spartina,100.0,1
aug_1510,0,0,spartina,100.0,1
aug_1518,0,0,spartina,100.0,1
aug_1524,0,0,spartina,100.0,1
aug_1531,0,0,spartina,100.0,1
aug_1537,0,0,spartina,100.0,1
aug_1590,0,0,spartina,100.0,1
aug_1590,1,1,spartina,100.0,1
aug_1595,0,0,spartina,100.0,1
aug_1595,1,0,spartina,100.0,1
aug_1625,0,0,spartina,100.0,1
aug_1629,0,0,spartina,100.0,1
aug_1641,1,1,spartina,100.0,1
aug_1654,0,0,spartina,100.0,1
aug_1654,1,0,spartina,100.0,1
aug_1686,0,0,spartina,100.0,1
aug_1687,0,0,spartina,100.0,1
aug_1688,1,0,spartina,100.0,1
aug_1695,0,0,spartina,100.0,1
aug_1706,0,0,spartina,100.0,1
aug_1710,0,0,spartina,100.0,2
aug_1710,0,1,spartina,100.0,1
aug_1710,1,0,spartina,100.0,1
aug_1717,0,0,spartina,100.0,2
aug_1717,1,0,spartina,100.0,1
aug_1720,0,0,spartina,100.0,2
aug_1720,1,0,spartina,100.0,1
aug_1738,0,0,spartina,100.0,1
aug_1738,1,1,spartina,100.0,2
aug_1740,0,0,spartina,100.0,2
aug_1748,0,0,spartina,100.0,1
aug_1749,0,0,spartina,100.0,1
aug_1761,1,0,spartina,100.0,1
aug_1767,1,0,spartina,100.0,1
aug_1783,0,0,spartina,100.0,1
aug_1801,0,0,spartina,100.0,1
aug_1814,0,0,spartina,100.0,2
aug_1814,0,1,spartina,100.0,1
aug_1814,1,0,spartina,100.0,1
aug_1814,1,1,spartina,100.0,1
aug_1819,0,1,spartina,100.0,1
aug_1819,1,0,spartina,100.0,2
aug_1826,0,0,spartina,100.0,2
aug_1826,0,1,spartina,100.0,1
aug_1826,1,1,spartina,100.0,1
aug_1834,0,0,spartina,100.0,1
aug_1837,0,0,spartina,100.0,1
aug_1851,0,0,spartina,100.0,4
aug_1851,0,1,spartina,100.0,2
aug_1851,1,0,spartina,100.0,1
aug_1875,0,0,spartina,100.0,2
aug_1875,1,0,spartina,100.0,1
aug_1877,0,0,spartina,100.0,2
aug_1877,0,1,spartina,100.0,1
aug_1877,1,0,spartina,100.0,2
aug_1878,0,0,spartina,100.0,2
aug_1878,0,1,spartina,100.0,1
aug_1887,0,0,spartina,100.0,1
aug_1889,0,0,spartina,100.0,1
aug_1893,0,0,spartina,100.0,2
aug_1893,1,1,spartina,100.0,1
aug_1898,0,0,spartina,100.0,1
aug_1921,0,0,spartina,100.0,1
aug_1921,1,0,spartina,100.0,1
aug_1923,0,0,spartina,100.0,1
aug_1923,1,0,spartina,100.0,1
aug_1925,0,0,spartina,100.0,1
aug_1930,0,0,spartina,100.0,1
aug_1936,0,0,spartina,100.0,1
aug_1956,0,0,spartina,100.0,1
aug_1968,0,0,spartina,100.0,1
aug_1974,0,0,spartina,100.0,1
aug_1976,0,0,spartina,100.0,1
aug_1982,0,0,spartina,100.0,1
aug_1995,1,0,spartina,100.0,1
aug_2000,0,0,spartina,100.0,1
aug_2000,1,0,spartina,100.0,1
aug_2019,0,0,spartina,100.0,1
aug_2028,0,0,spartina,100.0,1
aug_2031,0,0,spartina,100.0,1
aug_2031,0,1,spartina,100.0,1
aug_2034,0,0,spartina,100.0,1
aug_2036,0,0,spartina,100.0,1
aug_2038,0,0,spartina,100.0,1
aug_2042,0,0,spartina,100.0,1
aug_2043,0,0,spartina,100.0,1
aug_2044,0,0,spartina,100.0,1
aug_2044,0,1,spartina,100.0,1
aug_2049,0,0,spartina,100.0,1
aug_2072,0,0,spartina,100.0,1
aug_2079,0,0,spartina,100.0,1
aug_2097,1,1,spartina,100.0,1
aug_2118,0,0,spartina,100.0,1
aug_2122,0,0,spartina,100.0,1
aug_2122,1,1,spartina,100.0,1
aug_2125,0,0,spartina,100.0,1
aug_2134,0,0,spartina,100.0,1
aug_2134,1,1,spartina,100.0,1
aug_2144,0,0,spartina,100.0,1
aug_2161,0,0,spartina,100.0,1
aug_2176,0,0,spartina,100.0,1
aug_2185,0,1,spartina,100.0,2
aug_2191,0,1,spartina,100.0,2
aug_2203,0,0,spartina,100.0,1
aug_2215,0,1,spartina,100.0,1
aug_2215,1,0,spartina,100.0,1
aug_2223,0,0,spartina,100.0,2
aug_2234,0,1,spartina,100.0,1
aug_2236,0,0,spartina,100.0,1
aug_2250,0,0,spartina,100.0,1
aug_2261,0,0,spartina,100.0,1
aug_2266,0,0,spartina,100.0,2
aug_2267,0,0,spartina,100.0,1
aug_2274,0,0,spartina,100.0,1
aug_2278,0,0,spartina,100.0,1
